dataset,file,row_id,prediction,parsed_prediction,ground_truth,parsed_ground_truth,correct,finish_reason,error,audit_reason
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_17,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_18,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_19,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_20,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_21,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_22,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_23,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_24,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_25,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_26,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_27,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_28,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_29,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_30,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_31,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_32,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_33,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_34,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_35,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_36,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_37,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_38,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_39,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_40,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_41,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_42,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_43,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_44,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_45,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_46,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_47,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_48,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_49,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_50,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_51,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_52,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_53,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_54,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_55,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_56,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_57,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_58,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_59,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_60,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_61,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_62,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_63,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_64,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_65,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_66,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_67,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_68,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_69,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_70,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_71,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_72,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_73,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_74,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_75,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_76,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_77,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_78,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_79,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_80,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_81,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_82,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_83,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_84,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_85,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_86,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_87,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_88,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_89,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_90,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_91,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_92,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_93,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_94,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_95,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_96,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_97,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_98,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_99,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_100,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_101,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_102,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_103,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_104,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_105,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_106,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_107,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_108,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_109,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_110,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_111,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_112,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_113,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_114,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_115,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_116,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_117,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_118,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_119,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_120,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_121,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_122,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_123,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_124,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Visual_Correspondence_9,B,B,(A),A,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Visual_Correspondence_13,C,C,(D),D,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Visual_Correspondence_19,B,B,(A),A,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Visual_Correspondence_47,D,D,(A),A,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Visual_Correspondence_49,B,B,(C),C,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Visual_Correspondence_53,D,D,(A),A,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Visual_Correspondence_80,B,B,(A),A,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Visual_Correspondence_92,B,B,(D),D,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Visual_Correspondence_99,C,C,(D),D,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Visual_Correspondence_110,C,C,(A),A,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Visual_Correspondence_116,B,B,(A),A,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Visual_Correspondence_151,A,A,(D),D,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_1,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_2,C,C,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_3,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_4,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_5,C,C,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_6,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_7,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_8,(D) Point D,D,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_9,C,C,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_10,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_11,C,C,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_12,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_13,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_14,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_15,C,C,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_16,C,C,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_17,C,C,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_18,C,C,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_19,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_20,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_21,C,C,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_22,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_23,D,D,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_24,C,C,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_25,C,C,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_26,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_27,C,C,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_28,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_29,C,C,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_30,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_31,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_32,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_33,D,D,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_34,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_35,(D) Point D,D,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_36,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_37,(C) Point C,C,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_38,B,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Visual_Correspondence_39,D,D,hidden,,,stop,,unparsed
